Index;Date;Time;Temperature(°C);Cardio(BPM);Saturation(%SpO2);Audio(%max);Rotation(rad/s);Acceleration(m/s2)
;;;;;;;;
1;10/04/2023;22:19:38;29.60;0.00;0;0.00;0.06;9.84
;;;;;;;;
2;10/04/2023;22:19:40;29.73;10.86;0;1.83;0.25;9.61
;;;;;;;;
3;10/04/2023;22:19:42;29.83;23.03;0;1.23;1.59;9.55
;;;;;;;;
4;10/04/2023;22:19:44;29.91;0.00;0;1.39;0.13;9.66
;;;;;;;;
5;10/04/2023;22:19:46;29.97;111.82;94;1.39;3.16;7.86
;;;;;;;;
6;10/04/2023;22:19:48;30.04;66.44;94;1.48;0.58;10.24
;;;;;;;;
7;10/04/2023;22:19:50;30.08;79.49;94;1.20;1.17;10.48
;;;;;;;;
8;10/04/2023;22:19:52;30.14;117.48;94;1.17;0.61;8.57
;;;;;;;;
9;10/04/2023;22:19:54;30.20;45.87;0;1.22;0.25;9.19
;;;;;;;;
10;10/04/2023;22:19:56;30.23;64.19;0;1.43;2.46;11.26
;;;;;;;;
11;10/04/2023;22:19:58;30.26;91.10;94;1.38;0.80;10.47
;;;;;;;;
12;10/04/2023;22:20:00;30.31;47.71;94;1.26;0.46;11.45
;;;;;;;;
13;10/04/2023;22:20:02;30.30;35.86;0;0.82;1.44;9.11
;;;;;;;;
14;10/04/2023;22:20:04;30.35;96.38;94;0.59;1.57;10.04
;;;;;;;;
15;10/04/2023;22:20:06;30.37;55.56;94;0.41;4.11;9.97
;;;;;;;;
16;10/04/2023;22:20:08;30.40;77.56;94;0.71;0.64;10.08
;;;;;;;;
17;10/04/2023;22:20:10;30.44;41.09;94;0.57;0.23;9.69
;;;;;;;;
18;10/04/2023;22:20:12;30.48;0.00;0;0.63;0.06;9.70
;;;;;;;;
19;10/04/2023;22:20:14;30.49;32.47;0;0.86;0.07;9.74
;;;;;;;;
20;10/04/2023;22:20:16;30.51;0.00;0;0.58;0.06;9.76
;;;;;;;;
21;10/04/2023;22:20:18;30.54;0.00;0;0.92;0.06;9.72
;;;;;;;;
22;10/04/2023;22:20:20;30.57;0.00;0;0.74;0.07;9.71
;;;;;;;;
23;10/04/2023;22:20:22;30.58;10.68;0;0.74;0.06;9.69
